
Feature: baby , Entropy= 0.035655463634421763
Feature: showing , Entropy= 0.035530536678093576
Feature: ebony , Entropy= 0.03569647458239714
Feature: suzanne , Entropy= 0.03569647458239714
Feature: construct , Entropy= 0.03569647458239714
Feature: attempt , Entropy= 0.03567600787130488
Feature: drapery , Entropy= 0.03569647458239714
Feature: balance , Entropy= 0.03555155869029283
Feature: kindness , Entropy= 0.03569647458239714
Feature: lying , Entropy= 0.03569647458239714
Feature: sketchpad , Entropy= 0.03569647458239714
Feature: exceeded , Entropy= 0.035655463634421763
Feature: researchers , Entropy= 0.03569647458239714
Feature: made , Entropy= 0.03531570967868297
Feature: ailments , Entropy= 0.03569647458239714
Feature: being , Entropy= 0.03531570967868297
Feature: dynamo , Entropy= 0.03569647458239714
Feature: curry , Entropy= 0.03567600787130488
Feature: bade , Entropy= 0.03569647458239714
Feature: inorganic , Entropy= 0.03569647458239714
Feature: delineament , Entropy= 0.03569647458239714
Feature: debunk , Entropy= 0.03569647458239714
Feature: contents , Entropy= 0.03569647458239714
Feature: dod , Entropy= 0.03569647458239714
Feature: curse , Entropy= 0.03569647458239714
Feature: doc , Entropy= 0.03559335983963042
Feature: maniac , Entropy= 0.03569647458239714
Feature: doe , Entropy= 0.03569647458239714
Feature: joyce , Entropy= 0.03567600787130488
Feature: dog , Entropy= 0.03569647458239714
Feature: status , Entropy= 0.03538105592527071
Feature: counterbalance , Entropy= 0.03569647458239714
Feature: trading , Entropy= 0.03538105592527071
Feature: don , Entropy= 0.0349766196798893
Feature: diffusion , Entropy= 0.03569647458239714
Feature: magi , Entropy= 0.03569647458239714
Feature: thief , Entropy= 0.03569647458239714
Feature: curve , Entropy= 0.03569647458239714
Feature: dor , Entropy= 0.03569647458239714
Feature: portugal , Entropy= 0.03569647458239714
Feature: dot , Entropy= 0.03569647458239714
Feature: broth , Entropy= 0.03569647458239714
Feature: dos , Entropy= 0.03569647458239714
Feature: dow , Entropy= 0.03569647458239714
Feature: known , Entropy= 0.035655463634421763
Feature: paraboloidal , Entropy= 0.03569647458239714
Feature: crimp , Entropy= 0.03569647458239714
Feature: joshua , Entropy= 0.03569647458239714
Feature: stream , Entropy= 0.03569647458239714
Feature: nurse , Entropy= 0.03569647458239714
Feature: brewery , Entropy= 0.03569647458239714
Feature: pristine , Entropy= 0.03569647458239714
Feature: coalition , Entropy= 0.03569647458239714
Feature: strop , Entropy= 0.03569647458239714
Feature: crime , Entropy= 0.03569647458239714
Feature: stickle , Entropy= 0.03569647458239714
Feature: crossbar , Entropy= 0.03569647458239714
Feature: knows , Entropy= 0.03567600787130488
Feature: alcove , Entropy= 0.03569647458239714
Feature: computation , Entropy= 0.03569647458239714
Feature: erosible , Entropy= 0.03569647458239714
Feature: widest , Entropy= 0.03569647458239714
Feature: laminar , Entropy= 0.03569647458239714
